Date,Open,High,Low,Close,Adj Close,Volume
2022-07-28,5.140000,5.250000,4.934000,5.110000,5.110000,2055100
2022-07-29,5.100000,5.340000,5.040000,5.330000,5.330000,1291800
2022-08-01,5.270000,5.440000,5.150000,5.410000,5.410000,1262700
2022-08-02,5.340000,5.910000,5.340000,5.730000,5.730000,2024400
2022-08-03,5.780000,5.910000,5.730000,5.830000,5.830000,1084100
2022-08-04,5.850000,5.990000,5.780000,5.830000,5.830000,1149200
2022-08-05,5.700000,5.890000,5.610000,5.880000,5.880000,1122300
2022-08-08,5.950000,6.000000,5.765000,5.830000,5.830000,1098600
2022-08-09,5.800000,6.075000,5.780000,5.980000,5.980000,1603400
2022-08-10,6.090000,6.165000,5.860000,6.070000,6.070000,1306100
2022-08-11,6.100000,6.270000,5.925000,5.970000,5.970000,1642300
2022-08-12,6.040000,6.290000,5.920000,6.230000,6.230000,1367500
2022-08-15,6.240000,6.370000,6.145000,6.160000,6.160000,1625600
2022-08-16,6.170000,6.540000,6.070000,6.470000,6.470000,2475200
2022-08-17,6.400000,6.400000,6.121000,6.210000,6.210000,1090900
2022-08-18,6.220000,6.410000,6.110000,6.370000,6.370000,1878000
2022-08-19,6.280000,6.280000,5.710000,5.840000,5.840000,2059600
2022-08-22,5.710000,5.730000,5.520000,5.700000,5.700000,1421100
2022-08-23,5.660000,5.720000,5.565000,5.610000,5.610000,1068300
2022-08-24,5.660000,5.870000,5.610000,5.790000,5.790000,1027800
2022-08-25,5.910000,6.050000,5.800000,6.040000,6.040000,840100
2022-08-26,5.980000,5.980000,5.710000,5.720000,5.720000,1195100
2022-08-29,5.590000,5.770000,5.560000,5.660000,5.660000,821800
2022-08-30,5.750000,5.750000,5.530000,5.600000,5.600000,863500
2022-08-31,5.610000,5.650000,5.360000,5.480000,5.480000,1543400
2022-09-01,5.380000,5.390000,4.810000,5.050000,5.050000,3355000
2022-09-02,5.090000,5.180000,4.939000,5.010000,5.010000,1884100
2022-09-06,4.980000,5.250000,4.980000,5.190000,5.190000,2119100
2022-09-07,5.200000,5.430000,5.200000,5.390000,5.390000,1522800
2022-09-08,5.270000,5.490000,5.175000,5.210000,5.210000,1775000
2022-09-09,5.220000,5.495000,5.210000,5.360000,5.360000,1602000
2022-09-12,5.400000,5.530000,5.370000,5.420000,5.420000,2596900
2022-09-13,5.820000,6.440000,5.800000,6.150000,6.150000,7883400
