Date,Open,High,Low,Close,Adj Close,Volume,,,
8/31/2020,6.33,6.45,5.76,5.88,5.88,9820200,-0.19,,
9/1/2020,5.79,6.18,5.79,6.07,6.07,9524000,-0.97,,
9/2/2020,7.01,7.71,6.46,7.04,7.04,43056200,0.44,,
9/3/2020,6.94,7.14,6.48,6.6,6.6,10626600,-0.42,,
9/4/2020,6.76,7.02,6.23,7.02,7.02,9328800,0.6,,
9/8/2020,6.76,6.95,6.37,6.42,6.42,6667400,0.16,,
9/9/2020,6.54,6.54,6.11,6.26,6.26,5578200,0.32,,
9/10/2020,6.28,6.36,5.88,5.94,5.94,5881800,0.15,,
9/11/2020,6.06,6.07,5.6,5.79,5.79,4863000,0.25,,
9/14/2020,5.84,5.87,5.51,5.54,5.54,4638100,0.02,,
9/15/2020,5.6,5.87,5.52,5.52,5.52,5099300,-0.24,,
9/16/2020,5.52,5.88,5.42,5.76,5.76,4380600,0.04,,
9/17/2020,5.67,5.79,5.58,5.72,5.72,2619700,0.05,,
9/18/2020,5.71,5.74,5.57,5.67,5.67,2428500,0.35,,
9/21/2020,5.42,5.48,5.01,5.32,5.32,4563200,0.11,,
9/22/2020,5.22,5.32,5.14,5.21,5.21,2090100,0.43,,
9/23/2020,5.22,5.29,4.74,4.78,4.78,4285200,0.17,,
9/24/2020,4.69,4.9,4.36,4.61,4.61,4569700,-0.27,,
9/25/2020,4.64,4.93,4.5,4.88,4.88,2375500,-0.03,,
9/28/2020,5.04,5.04,4.61,4.91,4.91,4676500,0.05,,
9/29/2020,4.88,4.94,4.75,4.86,4.86,2520000,0.15,,
9/30/2020,4.8,4.95,4.7,4.71,4.71,2515400,0.06,,
10/1/2020,4.78,4.8,4.63,4.65,4.65,3223800,0,,
10/2/2020,4.48,4.66,4.42,4.65,4.65,3576000,0.52,,
10/5/2020,4.3,4.36,4.05,4.13,4.13,9468800,0.07,,
10/6/2020,4.26,4.27,4.05,4.06,4.06,8404200,0.02,,
10/7/2020,4.08,4.11,3.94,4.04,4.04,6917700,-0.1,,
10/8/2020,4.13,4.18,4.02,4.14,4.14,7868500,0.09,,
10/9/2020,4.17,4.18,4.04,4.05,4.05,5021400,-0.03,,
10/12/2020,4.03,4.09,4,4.08,4.08,3245700,0.54,,
10/13/2020,3.9,3.91,3.52,3.54,3.54,10164700,0.58,,
10/14/2020,3.09,3.2,2.66,2.96,2.96,31709400,0.18,,
10/15/2020,2.84,2.96,2.76,2.78,2.78,9808600,-0.26,,
10/16/2020,2.87,3.29,2.8,3.04,3.04,18565800,-0.5,,
10/19/2020,3.31,3.88,3.23,3.54,3.54,40385100,0.45,,
10/20/2020,3.3,3.31,3.05,3.09,3.09,15978800,0.09,,
10/21/2020,3.1,3.13,2.98,3,3,7277300,-0.12,,
10/22/2020,2.96,3.15,2.84,3.12,3.12,12339600,0.15,,
10/23/2020,3.13,3.15,2.95,2.97,2.97,6635000,0.22,,
10/26/2020,2.92,2.93,2.68,2.75,2.75,10458800,-0.04,,
10/27/2020,2.88,2.9,2.61,2.79,2.79,11251300,0.18,,
10/28/2020,2.69,2.74,2.58,2.61,2.61,8141100,0.09,,
10/29/2020,2.65,2.68,2.48,2.52,2.52,9019300,0.16,,
10/30/2020,2.48,2.49,2.28,2.36,2.36,10968800,0.21,,
11/2/2020,2.3,2.32,2.11,2.15,2.15,11180100,-0.19,,
11/3/2020,2.34,2.59,2.3,2.34,2.34,15441900,0.03,,
11/4/2020,2.4,2.43,2.24,2.31,2.31,7609100,-0.15,,
11/5/2020,2.35,2.57,2.27,2.46,2.46,8056200,-0.03,,
11/6/2020,2.43,2.62,2.33,2.49,2.49,9049500,-1.28,,
11/9/2020,4.27,4.39,3.23,3.77,3.77,132511000,0.26,,
11/10/2020,3.99,4.03,3.34,3.51,3.51,42129300,0.38,,
11/11/2020,3.23,3.24,3,3.13,3.13,24066100,0.19,,
11/12/2020,3.07,3.07,2.92,2.94,2.94,14729000,-0.03,,
11/13/2020,2.98,2.99,2.78,2.97,2.97,21995400,-0.14,,
11/16/2020,3.39,3.39,3.05,3.11,3.11,47604300,0.13,,
11/17/2020,3.01,3.04,2.9,2.98,2.98,22483000,-0.28,,
11/18/2020,3.08,3.37,3.01,3.26,3.26,31717300,0.07,,
11/19/2020,3.16,3.38,3.15,3.19,3.19,13986400,-0.16,,
11/20/2020,3.25,3.37,3.21,3.35,3.35,17088800,-0.46,,
11/23/2020,3.51,3.85,3.41,3.81,3.81,31514600,-0.77,,
11/24/2020,4.16,5,4.15,4.58,4.58,62884600,0.09,,
11/25/2020,4.57,4.85,4.2,4.49,4.49,22647300,0.04,,
11/27/2020,4.54,4.62,4.36,4.45,4.45,10097400,0.18,,
11/30/2020,4.41,4.45,3.99,4.27,4.27,16555000,0.12,,
